MONTH,YEAR,AIRLINE_CODE,FL_NUMBER,ORIGIN,DEST,SCHEDULED_DEPARTURE,DEP_DELAY,SCHEDULED_ARRIVAL_TIME,ARR_DELAY,CANCELLED,DISTANCE
11,19,AA,1499,SLC,PHX,1339,20,1518,18,0,507
3,23,F9,1039,BUF,MCO,1327,27,1627,-5,0,1011
5,19,NK,315,TPA,IAH,1911,-3,2029,-8,0,787
9,21,G4,2446,PBG,SFB,1902,12,2157,-13,0,1175
3,20,OO,5633,DEN,MFR,1920,-2,2117,6,0,964
2,23,AA,2567,DFW,MIA,530,-4,914,-14,0,1121
4,19,YX,5979,BOS,LGA,1100,-5,1221,-13,0,184
11,22,AA,1559,DFW,ATL,829,-7,1133,-23,0,731
8,19,9E,5454,DSM,DTW,1633,-11,1918,-15,0,534
11,21,OO,3608,SEA,SJC,715,-4,931,2,0,696
7,20,DL,705,ATL,JFK,2032,4,2245,-4,0,760
3,19,YX,3432,EWR,RDU,1410,25,1554,25,0,416
10,22,WN,1993,DCA,ATL,1235,8,1425,7,0,547
4,22,MQ,4077,TYS,ORD,655,-3,750,-18,0,475
6,21,NK,143,BQN,MCO,353,-14,652,-11,0,1129
8,19,NK,349,PHL,MCO,1330,-10,1612,-19,0,861
7,23,AS,25,JFK,SAN,1855,7,2200,-29,0,2446
6,22,WN,2148,LGB,RNO,945,16,1100,14,0,402
12,22,WN,2904,DEN,SJC,1440,150,1620,145,0,948
6,23,WN,2960,AUS,HOU,1205,38,1300,48,0,148
5,21,OO,3002,ORD,MKE,950,-2,1047,-16,0,67
5,21,OO,3635,EUG,SLC,1330,-7,1626,-15,0,618
2,20,WN,3212,DEN,TPA,1050,6,1615,-11,0,1506
9,19,DL,745,SFO,DTW,1135,70,1917,52,0,2079
2,23,9E,4650,TYS,ATL,1500,-12,1608,-24,0,152
3,22,DL,1728,STT,BOS,1510,27,1918,30,0,1693
12,19,OO,3685,DTW,IAD,725,-1,906,-11,0,383
10,22,DL,2620,RDU,BOS,1030,176,1228,168,0,612
3,20,OH,5190,GRR,PHL,1225,14,1413,9,0,573
3,22,AA,1851,TPA,PHL,1709,35,1941,28,0,920
9,19,DL,440,MSY,JFK,1105,-5,1510,0,0,1182
7,23,9E,4948,ATL,FAY,1525,-2,1652,-2,0,331
10,20,DL,1090,SEA,SLC,747,-6,1045,0,0,689
2,19,AA,972,BOS,MIA,1808,17,2153,2,0,1258
8,19,DL,347,JFK,DFW,1825,102,2132,52,0,1391
8,20,WN,1746,BWI,TPA,1320,-5,1540,-21,0,842
1,21,OH,5379,MKE,CLT,700,-11,1031,-24,0,651
7,21,OO,3137,GNV,DFW,1939,34,2120,19,0,900
